Date,Open,High,Low,Close,Volume
1579824000,162.85,164.45,155.55,162.54,430013.19902
1579910400,162.51,162.79,157.61,160.35,219921.65196999998
1579996800,160.36,168.08,159.41,167.86,251582.55758000002
1580083200,167.91,172.56,165.22,170.08,365894.81917
1580169600,170.04,176.2,170.03,175.64,473433.89608999994
1580256000,175.58,178.45,173.33,173.72,317382.90161
1580342400,173.68,187.0,170.93,184.69,477721.6609
1580428800,184.71,185.82,175.22,179.99,385596.53365
1580515200,179.94,184.28,179.23,183.6,259370.12902
1580601600,183.63,193.43,179.1,188.44,552621.13619
1580688000,188.48,195.19,186.62,189.69,417175.95781
1580774400,189.74,191.6,184.69,188.91,366389.69685999997
1580860800,188.91,207.61,188.19,203.78,550942.11417
1580947200,203.78,216.33,201.02,213.19,608240.2233
1581033600,213.16,225.0,213.14,223.33,629361.15466
1581120000,223.36,227.75,213.22,223.05,548551.87465
1581206400,223.01,230.65,222.86,228.49,350336.24399
1581292800,228.53,229.4,216.37,222.89,510415.49948999996
1581379200,222.89,239.15,218.17,236.69,595576.9027600001
1581465600,236.69,275.34,236.69,265.74,1038073.74782
1581552000,265.74,277.69,256.08,268.32,1089679.1537
1581638400,268.34,287.15,260.28,285.15,734944.3226600001
1581724800,285.11,288.41,261.86,264.88,860813.1427399999
1581811200,264.91,274.0,237.41,258.85,1110118.46395
1581897600,258.89,268.77,242.0,267.85,1110371.39094
1581984000,267.9,285.88,258.0,282.61,1115523.43992
1582070400,282.64,285.0,251.56,258.45,705973.72988
1582156800,258.44,264.33,245.34,256.96,972969.7169100001
1582243200,256.97,268.24,253.61,265.27,525827.8734
1582329600,265.32,266.81,256.0,261.57,313062.52133
1582416000,261.55,275.68,261.02,274.48,444740.82883
1582502400,274.5,277.2,257.09,265.52,696591.72983
1582588800,265.47,266.22,244.44,246.67,774791.01027
1582675200,246.67,250.32,215.66,223.93,1395879.41507
1582761600,223.98,238.3,210.0,227.79,1273793.11658
1582848000,227.73,234.67,214.01,226.76,1054994.9239700001
1582934400,226.76,233.0,217.0,217.21,546866.6851
1583020800,217.29,227.89,212.36,217.81,715016.0194100001
1583107200,217.81,234.4,216.07,231.97,810051.4833
1583193600,232.1,232.46,219.57,223.91,741498.54825
1583280000,223.84,228.85,220.23,224.26,443780.33771999995
1583366400,224.26,234.09,224.23,228.38,601479.87587
1583452800,228.38,245.16,227.33,244.88,628147.3257
1583539200,244.93,251.93,236.0,237.23,633748.89662
1583625600,237.23,237.23,195.5,199.43,1278973.53741
1583712000,199.43,208.62,190.0,202.81,1661331.8355299998
1583798400,202.79,206.2,195.54,200.7,1020260.1070000001
1583884800,200.74,203.18,181.73,194.61,1079824.90167
1583971200,194.61,195.55,101.2,107.82,3814533.14046
1584057600,107.67,139.68,86.0,134.06,4663239.92861
1584144000,134.06,134.68,120.0,122.54,1237674.88642
1584230400,122.54,133.5,120.16,123.78,1312950.90137
1584316800,123.82,124.33,101.1,111.02,2442064.14448
1584403200,111.02,120.8,109.38,115.67,1295108.4848
1584489600,115.67,118.5,109.86,118.11,1201850.31275
1584576000,118.11,143.13,115.46,136.3,1801071.18816
1584662400,136.3,152.55,116.74,133.48,2504057.63799
1584748800,133.49,137.49,125.69,132.66,1231842.11121
1584835200,132.63,137.13,121.1,122.32,1055699.86532
1584921600,122.31,137.5,119.5,135.92,1436796.12449
1585008000,135.89,143.36,132.2,138.42,1244377.16334
1585094400,138.42,142.33,132.54,136.1,1034248.7436899999
1585180800,136.11,139.74,133.26,138.4,751060.63102
1585267200,138.4,141.27,129.68,131.33,706948.54559
1585353600,131.33,132.97,124.88,130.98,896032.1059399999
1585440000,130.94,131.84,123.81,124.5,543997.0
1585526400,124.47,135.42,124.06,132.06,764831.92747
1585612800,132.09,135.0,130.38,132.72,547669.2778899999
1585699200,132.72,136.99,128.62,135.69,680922.24747
1585785600,135.65,149.76,135.01,141.28,1138977.66114
1585872000,141.27,146.72,137.26,141.31,797546.1144600001
1585958400,141.3,146.28,138.88,144.1,573508.14086
1586044800,144.1,145.58,140.68,142.68,414987.45246
1586131200,142.69,172.0,142.6,171.32,1636338.7311
1586217600,171.32,176.22,162.22,164.63,1717962.8253799998
1586304000,164.62,174.48,163.59,173.11,1023575.92076
1586390400,173.15,173.38,165.19,169.52,719837.2442300001
1586476800,169.56,170.1,152.11,157.81,1314841.362
1586563200,157.81,161.37,153.91,158.33,621599.61289
1586649600,158.33,164.78,155.0,158.59,809100.2459399999
1586736000,158.56,158.97,150.0,156.29,1042091.0362200001
1586822400,156.28,161.85,155.23,158.45,698030.6508899999
1586908800,158.46,161.29,152.0,152.73,729119.66505
1586995200,152.74,174.79,148.33,172.29,1647207.59991
1587081600,172.31,174.96,168.31,170.69,723537.7559100001
1587168000,170.61,189.54,170.48,187.4,1127296.36979
1587254400,187.4,188.35,175.75,180.03,995759.5775
1587340800,180.02,186.46,166.7,170.2,1547821.52737
1587427200,170.21,174.7,168.0,170.74,906381.65398
1587513600,170.73,184.0,169.78,182.7,988698.39076
1587600000,182.7,193.63,178.16,185.51,1457867.0871299999
1587686400,185.57,189.8,184.72,187.59,780904.21257
1587772800,187.6,198.36,185.76,194.21,866478.0492799999
1587859200,194.21,200.0,192.3,197.38,758525.81533
1587945600,197.39,199.05,189.29,196.34,896627.37271
1588032000,196.33,198.5,192.36,196.24,636829.89397
1588118400,196.24,218.77,196.22,215.36,1620422.72431
1588204800,215.4,227.3,202.0,206.08,1749691.0015099999
1588291200,206.07,217.14,205.91,212.02,794913.95828
1588377600,212.01,215.37,210.36,213.9,443494.67248
1588464000,213.89,219.3,203.92,209.86,748383.9131100001
1588550400,209.86,210.65,194.88,206.48,1114249.3265799999
1588636800,206.47,211.68,201.0,205.29,640644.6626800001
1588723200,205.3,210.77,197.71,198.97,862700.67849
1588809600,198.92,215.1,196.43,212.0,1305778.73764
1588896000,212.01,216.61,206.9,211.31,917908.1944
1588982400,211.32,214.6,208.4,210.07,587871.9807300001
1589068800,210.09,210.18,179.59,187.54,1473226.05475
1589155200,187.62,193.5,176.0,185.73,1093299.81927
1589241600,185.8,192.24,185.48,189.76,669755.79567
1589328000,189.77,201.0,188.35,199.58,806143.0070399999
1589414400,199.61,206.02,195.67,203.29,1114700.24937
1589500800,203.29,204.08,191.66,194.86,904749.6357
1589587200,194.87,203.5,193.21,200.45,669900.0375399999
1589673600,200.44,209.85,199.68,207.0,708711.89315
1589760000,207.02,217.07,207.0,214.91,1064139.2485
1589846400,214.92,215.95,209.45,214.58,643702.98849
1589932800,214.6,215.75,204.27,209.98,679532.61037
1590019200,209.99,211.64,191.71,198.74,1003923.4342
1590105600,198.72,209.19,196.24,207.36,787672.36081
1590192000,207.36,211.2,204.55,206.6,478559.92006000003
1590278400,206.6,210.55,199.5,199.9,673535.0578399999
1590364800,199.9,205.67,198.01,204.15,469931.62492
1590451200,204.22,205.0,196.9,200.89,477176.7353
1590537600,200.92,208.44,200.76,208.29,494816.72727
1590624000,208.29,220.5,204.67,220.21,643945.97769
1590710400,220.24,224.79,217.57,220.67,603058.0759
1590796800,220.63,247.0,218.8,243.66,1019550.75146
1590883200,243.71,245.39,229.58,231.57,821608.68884
1590969600,231.56,250.68,230.66,248.23,823816.6993600001
1591056000,248.23,253.8,225.0,237.71,955520.91863
1591142400,237.71,245.0,232.71,244.52,502928.13371
1591228800,244.54,246.6,236.0,243.21,669369.3392
1591315200,243.22,247.87,239.14,240.03,502547.41103
1591401600,240.04,244.7,237.83,241.94,389423.07798
1591488000,241.94,245.37,234.6,244.56,571102.55515
1591574400,244.57,247.7,240.59,246.4,383116.54719
1591660800,246.37,249.82,238.0,243.8,420327.17133000004
1591747200,243.79,250.28,242.0,247.78,431285.61715
1591833600,247.78,250.09,226.2,230.51,816456.89161
1591920000,230.46,239.38,228.19,237.55,446515.34124
1592006400,237.55,238.73,234.66,238.11,253797.7809
1592092800,238.13,238.59,229.83,231.77,304943.21188
1592179200,231.74,233.55,218.27,230.86,875026.9205700001
1592265600,230.86,236.0,228.7,235.3,499194.66758
1592352000,235.31,237.3,227.65,233.82,478187.2917
1592438400,233.82,234.65,227.93,231.27,334347.79916999995
1592524800,231.26,231.95,226.74,229.0,397284.59808
1592611200,229.0,230.85,225.62,228.89,303704.98826
1592697600,228.88,231.49,227.11,228.04,256305.23734000002
1592784000,228.03,246.89,227.51,243.13,749030.1111399999
1592870400,243.11,244.87,240.75,243.14,442296.31477
1592956800,243.15,249.24,231.07,234.58,921634.0534
1593043200,234.57,235.39,227.56,232.5,613748.59348
1593129600,232.49,233.61,227.75,229.64,628340.07007
1593216000,229.66,231.42,216.0,220.94,645950.61438
1593302400,220.94,227.96,218.32,224.93,444766.56881
1593388800,224.89,229.96,221.26,227.93,597915.5224199999
1593475200,227.98,228.7,222.91,225.6,415036.02976999996
1593561600,225.59,232.71,224.16,230.99,517351.58865
1593648000,230.99,232.01,222.87,226.46,592485.91115
1593734400,226.46,228.13,223.97,224.87,314578.5004
1593820800,224.86,230.71,224.43,229.17,307726.46593
1593907200,229.24,229.85,223.05,227.56,355747.12006
1593993600,227.54,242.0,226.93,241.6,864817.507
1594080000,241.6,243.77,234.4,239.39,600424.9720899999
1594166400,239.39,248.88,237.78,246.95,958185.83708
1594252800,246.94,247.9,237.88,241.98,647641.58291
1594339200,241.97,242.16,235.72,241.26,455025.12385
1594425600,241.27,241.67,237.54,239.19,294476.00626
1594512000,239.19,244.0,236.52,242.79,469315.1172
1594598400,242.76,245.33,237.33,239.5,604093.04245
1594684800,239.5,242.09,237.0,240.44,426320.89188
1594771200,240.45,241.45,236.83,238.61,368350.66518
1594857600,238.59,239.39,230.02,233.57,587161.73894
1594944000,233.58,234.84,231.65,232.67,325600.21444
1595030400,232.66,236.8,232.32,235.67,341356.6182
1595116800,235.67,239.92,233.28,239.11,348803.52073000005
1595203200,239.12,239.72,234.05,236.01,396657.91938000004
1595289600,236.0,246.66,235.57,245.59,637462.08074
1595376000,245.53,269.61,241.51,263.74,718417.68296
1595462400,263.75,279.98,259.7,275.3,1068774.57879
1595548800,275.31,287.34,266.0,279.15,926033.0669200001
1595635200,279.15,308.94,279.09,305.26,1058927.3055399999
1595721600,305.31,318.75,299.0,311.0,1270368.753
1595808000,311.02,333.31,310.78,321.93,1636122.34727
1595894400,321.95,326.8,305.86,316.77,1093231.5557799998
1595980800,316.77,325.0,312.38,317.71,792802.32148
1596067200,317.76,342.0,314.05,334.87,1008827.5669799999
1596153600,334.82,349.45,328.4,346.33,948088.4498200001
1596240000,346.32,392.67,343.07,387.0,1440843.34203
1596326400,387.01,415.85,325.0,372.42,2324909.0961599997
1596412800,372.45,398.0,366.5,385.94,1191565.09389
1596499200,385.91,402.98,380.77,389.61,1180792.42379
1596585600,389.59,407.0,384.11,400.72,1124119.0672
1596672000,400.72,403.66,390.51,394.77,821379.08397
1596758400,394.77,398.26,362.85,379.34,1041207.3594600001
1596844800,379.34,397.05,375.79,397.03,623029.78053
1596931200,397.05,400.0,383.36,390.14,594900.5813300001
1597017600,390.14,399.18,385.13,395.44,826969.90633
1597104000,395.43,398.21,367.0,379.0,992412.6023
1597190400,378.99,389.23,365.85,387.18,751848.7983
1597276800,387.18,431.49,376.59,424.54,1511330.7732
1597363200,424.54,444.71,417.05,438.11,1109670.94324
1597449600,438.12,442.94,427.02,432.32,681698.5971
1597536000,432.3,436.99,412.47,433.62,716666.25258
1597622400,433.61,446.0,420.37,430.89,868870.6499600001
1597708800,430.89,433.81,415.0,421.95,743254.57018
1597795200,421.92,426.75,393.25,407.46,978339.69221
1597881600,407.46,418.98,402.07,415.94,663555.73445
1597968000,415.94,418.68,385.1,387.97,860998.7256
1598054400,387.93,397.04,379.92,395.24,643235.76543
1598140800,395.23,396.95,383.15,390.71,445317.81989
1598227200,390.72,410.42,387.44,407.68,717403.81877
1598313600,407.68,409.06,370.0,382.93,970445.38395
1598400000,382.91,392.91,377.37,385.81,738690.7794
1598486400,385.81,397.1,371.48,383.27,877763.7365799999
